Metadata: {"arch":"amd64","console_log":"console.log","dist_size":897024,"engine":"jscript","version":"5.8.16428"}
es1/String.prototype.toUpperCase.js: OK
es1/String.prototype.valueOf.js: OK
es1/annex-b.Date.prototype.getYear.js: non-compliant, expected to return 100 instead of 2000
es1/annex-b.Date.prototype.setYear.js: OK
es1/annex-b.Date.prototype.toGMTString.js: OK
es1/annex-b.global.escape.js: OK
es1/annex-b.global.unescape.js: OK
es1/annex-b.literals.octal.js: OK
es1/annex-b.literals.string.octal.js: OK
es1/arguments.callee.js: OK
es1/arguments.js: OK
es1/asi.eval.js: OK
es1/asi.js: OK
es1/assignment.bitwise.js: OK
es1/assignment.js: OK
es1/assignment.ltr.js: OK
es1/assignment.unsigned-shift.js: OK
es1/bitwise.binary.js: OK
es1/bitwise.shifts.js: OK
es1/bitwise.tilde.js: OK
es1/bitwise.unsigned-shift.js: OK
es1/break.js: OK
es1/comma.js: OK
es1/comments.js: OK
es1/conditional.js: OK
es1/continue.js: OK
es1/conversions.ToBoolean.js: OK
es1/conversions.ToInt32.js: OK
es1/conversions.ToInteger.js: OK
es1/conversions.ToNumber.js: OK
es1/conversions.ToObject.js: OK
es1/conversions.ToString.js: OK
es1/conversions.ToUint32.js: OK
es1/conversions.js: OK
es1/equals.js: OK
es1/eval.js: OK
es1/for-in.js: OK
es1/for.js: OK
es1/functions.js: OK
es1/global.Infinity.js: OK
es1/global.NaN.js: OK
es1/global.isFinite.js: OK
es1/global.isNaN.js: OK
es1/global.parseFloat.js: OK
es1/global.parseInt.hex.js: OK
es1/global.parseInt.js: OK
es1/global.parseInt.radix.js: OK
es1/literals.decimal.js: OK
es1/literals.hex.js: OK
es1/literals.string.escapes.js: OK
es1/literals.string.hex.js: OK
es1/literals.string.js: OK
es1/literals.string.unicode.js: OK
es1/logical.js: OK
es1/new.typeof.js: OK
es1/numbers.double.js: OK
es1/numbers.fmod.js: OK
es1/numbers.inf.js: OK
es1/numbers.int.js: OK
es1/numbers.nan.js: OK
es1/postfix.decrement.js: OK
es1/postfix.increment.js: OK
es1/prefix.js: OK
es1/relational.js: OK
es1/return.js: OK
es1/return.typeof.js: OK
es1/this.js: OK
es1/typeof.js: OK
es1/typeof.null.js: OK
es1/typeof.undeclared.js: OK
es1/types.js: OK
es1/unary.decrement.js: OK
es1/unary.delete.js: OK
es1/unary.delete.var.js: OK
es1/unary.increment.js: OK
es1/unary.minus.js: OK
es1/unary.not.js: OK
es1/unary.plus.js: OK
es1/unary.plus.str.js: OK
es1/unary.tilde.js: OK
es1/var.js: OK
es1/var.typeof.js: OK
es1/void.js: OK
es1/void.typeof.js: OK
es1/while.js: OK
es1/with.js: OK
es3/Array.prototype.concat.js: OK
es3/Array.prototype.pop.generic.js: OK
es3/Array.prototype.pop.js: OK
es3/Array.prototype.push.generic.js: OK
es3/Array.prototype.push.js: OK
es3/Array.prototype.shift.generic.js: OK
es3/Array.prototype.shift.js: OK
es3/Array.prototype.slice.generic.js: OK
es3/Array.prototype.slice.js: OK
es3/Array.prototype.splice.generic.js: OK
es3/Array.prototype.splice.js: OK
es3/Array.prototype.toLocaleString.js: OK
es3/Array.prototype.unshift.generic.js: unshift on object failed; unshift multiple on object failed; unshift on empty object failed
es3/Array.prototype.unshift.js: unshift single element failed; unshift multiple elements failed; unshift on empty array failed; unshift with no arguments failed
es3/Array.prototype.unshift.returns-new-length.js: empty array unshift failed; multiple elements unshift failed; no arguments unshift failed
es3/Date.prototype.toDateString.js: OK
es3/Date.prototype.toLocaleDateString.js: OK
es3/Date.prototype.toLocaleString.js: OK
es3/Date.prototype.toLocaleTimeString.js: OK
es3/Date.prototype.toTimeString.js: OK
es3/Error.js: OK
es3/Error.prototype.constructor.js: OK
es3/Error.prototype.message.js: OK
es3/Error.prototype.name.js: OK
es3/Error.prototype.toString.js: OK
es3/Function.prototype.apply.js: OK
es3/Function.prototype.call.js: OK
es3/Math.max.variadic.js: OK
es3/Math.min.variadic.js: OK
es3/Number.prototype.toExponential.edge-cases.js: OK
es3/Number.prototype.toExponential.js: OK
es3/Number.prototype.toExponential.rounding.js: (1.255).toExponential(2) != '1.25e+0', got '1.26e+0'
es3/Number.prototype.toExponential.throws-infinity.js: toExponential(Infinity) does not throw RangeError; toExponential(-Infinity) does not throw RangeError
es3/Number.prototype.toFixed.js: large number precision failed; rounding failed
es3/Number.prototype.toLocaleString.js: OK
es3/Number.prototype.toPrecision.js: OK
es3/Object.prototype.hasOwnProperty.js: OK
es3/Object.prototype.isPrototypeOf.js: OK
es3/Object.prototype.propertyIsEnumerable.js: OK
es3/Object.prototype.toLocaleString.js: OK
es3/RegExp.global.js: OK
es3/RegExp.ignoreCase.js: OK
es3/RegExp.js: OK
es3/RegExp.lastIndex.js: OK
es3/RegExp.multiline.js: OK
es3/RegExp.prototype.constructor.js: OK
es3/RegExp.prototype.exec.js: OK
es3/RegExp.prototype.test.js: OK
es3/RegExp.prototype.toString.js: OK
es3/RegExp.source.js: OK
es3/String.prototype.concat.generic.js: OK
es3/String.prototype.concat.js: OK
es3/String.prototype.localeCompare.js: OK
es3/String.prototype.match.generic.js: OK
es3/String.prototype.match.js: OK
es3/String.prototype.replace.capture.js: OK
es3/String.prototype.replace.extra.js: OK
es3/String.prototype.replace.generic.js: OK
es3/String.prototype.replace.regex.js: OK
es3/String.prototype.replace.str.js: OK
es3/String.prototype.search.generic.js: OK
es3/String.prototype.search.js: OK
es3/String.prototype.search.str.js: OK
es3/String.prototype.slice.generic.js: OK
es3/String.prototype.slice.js: OK
es3/String.prototype.split.bugs.js: 'ab'.split(/(?:ab)*/).length !== 2; '.'.split(/(.?)(.?)/).length !== 4
es3/String.prototype.split.limit.js: OK
es3/String.prototype.split.regex.js: split with regex failed; split with capturing group failed
es3/String.prototype.toLocaleLowerCase.js: OK
es3/String.prototype.toLocaleUpperCase.js: OK
es3/annex-b.String.prototype.substr.js: negative start failed; negative start with length failed
es3/do-while.js: OK
es3/function-expressions.IIFE.js: OK
es3/function-expressions.js: OK
es3/global.EvalError.js: OK
es3/global.RangeError.js: OK
es3/global.RangeError.thrown.js: OK
es3/global.ReferenceError.js: OK
es3/global.ReferenceError.thrown.js: wrong exception for undeclared variable; wrong exception for undeclared function; wrong exception for undeclared in expression; wrong exception for property access on undeclared
es3/global.SyntaxError.js: OK
es3/global.SyntaxError.thrown.js: OK
es3/global.TypeError.js: OK
es3/global.TypeError.thrown.js: OK
es3/global.URIError.js: OK
es3/global.URIError.thrown.js: OK
es3/global.decodeURIComponent.js: OK
es3/global.decodeURI.js: OK
es3/global.encodeURIComponent.js: OK
es3/global.encodeURI.js: OK
es3/global.undefined.js: OK
es3/identifiers.unicode.js: OK
es3/instanceof.js: OK
es3/in.js: OK
es3/labelled.break.js: OK
es3/labelled.continue.js: OK
es3/labelled.statements.js: OK
es3/literals.array.elisions.js: array with only elision failed
es3/literals.array.js: OK
es3/literals.array.trailing-comma.js: [1,].length failed; trailing comma failed; multiple elements with trailing comma failed
es3/literals.object.decimal.js: OK
es3/literals.object.hex.js: OK
es3/literals.object.int.js: OK
es3/literals.object.js: OK
es3/literals.object.str.js: OK
es3/literals.object.unicode.js: OK
es3/literals.regex.ambiguous.js: OK
es3/literals.regex.empty.js: OK
es3/literals.regex.js: OK
es3/literals.string.esc-v.js: failed
es3/nested-functions.eval.js: Object expected
es3/nested-functions.js: OK
es3/regex.backref.js: OK
es3/regex.begin.js: OK
es3/regex.bracket.esc-b.js: OK
es3/regex.bracket.js: OK
es3/regex.bracket.ranges.js: OK
es3/regex.class.esc-d.js: OK
es3/regex.class.esc-s.js: OK
es3/regex.class.esc-w.js: OK
es3/regex.disjunction.js: complex disjunction failed
es3/regex.dot.js: OK
es3/regex.end.js: OK
es3/regex.escape.control.js: \v failed
es3/regex.escape.hex.js: OK
es3/regex.escape.js: OK
es3/regex.escape.nul.js: OK
es3/regex.escape.unicode.js: OK
es3/regex.flag.global.js: OK
es3/regex.flag.ignorecase.js: OK
es3/regex.flag.multiline.js: OK
es3/regex.group.js: OK
es3/regex.lookahead.js: OK
es3/regex.negative-lookahead.js: spec example failed
es3/regex.non-capturing-group.js: OK
es3/regex.quantifier.exact.js: OK
es3/regex.quantifier.maybe.js: OK
es3/regex.quantifier.min.js: OK
es3/regex.quantifier.plus.js: OK
es3/regex.quantifier.range.js: OK
es3/regex.quantifier.star.js: OK
es3/regex.word-boundary.js: OK
es3/source.line-terminators.js: OK
es3/source.whitespace.js: OK
es3/source.whitespace.unicode.js: OK
es3/strict-equals.js: OK
es3/switch.js: OK
es3/try-catch-finally.js: OK
es3/try-catch-throw.js: OK
es5/Array.isArray.js: Object doesn't support this property or method
es5/Array.prototype.every.js: Object doesn't support this property or method
es5/Array.prototype.filter.js: Object doesn't support this property or method
es5/Array.prototype.forEach.js: Object doesn't support this property or method
es5/Array.prototype.indexOf.js: Object doesn't support this property or method
es5/Array.prototype.lastIndexOf.js: Object doesn't support this property or method
es5/Array.prototype.map.js: Object doesn't support this property or method
es5/Array.prototype.reduceRight.js: Object doesn't support this property or method
es5/Array.prototype.reduce.js: Object doesn't support this property or method
es5/Array.prototype.some.js: Object doesn't support this property or method
es5/Array.prototype.sort.TypeError.js: failed
es5/Array.prototype.sort.undefined-comparefn.js: JScript object expected
es5/Date.now.js: Object doesn't support this property or method
es5/Date.prototype.toISOString.js: Object doesn't support this property or method
es5/Date.prototype.toJSON.js: 'Date.prototype.toJSON' is null or not an object
es5/Function.prototype-not-enumerable.js: OK
es5/Function.prototype.apply.array-like.js: array-like object not accepted
es5/Function.prototype.bind.js: Object doesn't support this property or method
es5/JSON.js: typeof JSON !== 'object'
es5/JSON.parse.js: 'JSON' is undefined
es5/JSON.parse.reviver.js: 'JSON' is undefined
es5/JSON.stringify.js: 'JSON' is undefined
es5/JSON.stringify.replacer.js: 'JSON' is undefined
es5/JSON.stringify.space.js: 'JSON' is undefined
es5/Object.create.js: Object doesn't support this property or method
es5/Object.defineProperties.js: Object doesn't support this property or method
es5/Object.defineProperty.js: Object doesn't support this property or method
es5/Object.freeze.js: Object doesn't support this property or method
es5/Object.getOwnPropertyDescriptor.js: Object doesn't support this property or method
es5/Object.getOwnPropertyNames.js: Object doesn't support this property or method
es5/Object.getPrototypeOf.js: Object doesn't support this property or method
es5/Object.isExtensible.js: Object doesn't support this property or method
es5/Object.isFrozen.js: Object doesn't support this property or method
es5/Object.isSealed.js: Object doesn't support this property or method
es5/Object.keys.js: Object doesn't support this property or method
es5/Object.preventExtensions.js: Object doesn't support this property or method
es5/Object.property-shadowing.js: non-enumerable did not shadow enumerable
es5/Object.seal.js: Object doesn't support this property or method
es5/String.indexing.js: 'foobar'[3] !== 'b'; test with variable failed
es5/String.prototype.trim.js: Object doesn't support this property or method
es5/arguments.toStringTag.js: failed
es5/debugger.js: OK
es5/global.Infinity.immutable.js: Infinity is not a number after assignment; Infinity not positive infinity after assignment
es5/global.NaN.immutable.js: NaN is not a number after assignment; NaN === NaN after assignment
es5/global.parseInt.no-octal.js: parseInt('010') !== 10; parseInt('0100') !== 100; parseInt('077') !== 77
es5/global.undefined.immutable.js: undefined is not undefined after assignment
es5/literals.object.getters.js: Expected ':'
es5/literals.object.setters.js: Expected ':'
es5/literals.object.trailing-comma.js: Expected identifier, string or number
es5/source.keyword-properties.js: Expected identifier, string or number
es5/source.unreserved-words.js: OK
es5/source.whitespace.bom.js: OK
es5/source.zero-width-chars.js: Invalid character
es5/strict.eval-cannot-create-bindings.js: failed
es5/strict.function-expr-with-matching-name.js: OK
es5/strict.js: failed
es5/strict.no-arguments-callee.js: failed
es5/strict.no-arguments-caller.js: failed
es5/strict.no-assignment-to-non-writable.js: Expected ':'
es5/strict.no-assignment-to-unresolvable.js: failed
es5/strict.no-delete-bindings.js: failed
es5/strict.no-delete-non-configurable.js: failed
es5/strict.no-duplicate-parameters.js: failed
es5/strict.no-eval-or-arguments-assignment.js: failed
es5/strict.no-eval-or-arguments-bindings.js: failed
es5/strict.no-function-caller-or-arguments.js: failed
es5/strict.no-octal-literals.js: failed
es5/strict.no-with.js: failed
es5/strict.reserved-words.js: 'var implements' did not throw in strict mode
es5/strict.this-primitive-not-coerced-in-accessors.js: Object doesn't support this property or method
es5/strict.this-primitive-not-coerced.js: string 'this' was coerced to object
es5/strict.this-undefined-in-function.js: outer 'this' is not undefined
es5/strict.unmapped-arguments.js: failed
es5/this.thrown-function.js: OK
compat-table/es5/Array.isArray.js: failed
compat-table/es5/Array.prototype.every.js: failed
compat-table/es5/Array.prototype.filter.js: failed
compat-table/es5/Array.prototype.forEach.js: failed
compat-table/es5/Array.prototype.indexOf.js: failed
compat-table/es5/Array.prototype.lastIndexOf.js: failed
compat-table/es5/Array.prototype.map.js: failed
compat-table/es5/Array.prototype.reduceRight.js: failed
compat-table/es5/Array.prototype.reduce.js: failed
compat-table/es5/Array.prototype.some.js: failed
compat-table/es5/Array.prototype.sort.compareFn-type.js: failed
compat-table/es5/Array.prototype.sort.compareFn-undefined.js: failed
compat-table/es5/Array.prototype.unshift.return-count.js: failed
compat-table/es5/Date.now.js: failed
compat-table/es5/Date.prototype.toISOString.js: failed
compat-table/es5/Date.prototype.toJSON.js: failed
compat-table/es5/Function.prototype.bind.js: failed
compat-table/es5/JSON.js: failed
compat-table/es5/Number.prototype.toExponential.no-throw-edge-cases.js: OK
compat-table/es5/Number.prototype.toExponential.rounds-properly.js: failed
compat-table/es5/Number.prototype.toExponential.throws-infinity.js: failed
compat-table/es5/Object.create.js: failed
compat-table/es5/Object.defineProperties.js: failed
compat-table/es5/Object.defineProperty.js: failed
compat-table/es5/Object.freeze.js: failed
compat-table/es5/Object.getOwnPropertyDescriptor.js: failed
compat-table/es5/Object.getOwnPropertyNames.js: failed
compat-table/es5/Object.getPrototypeOf.js: failed
compat-table/es5/Object.isExtensible.js: failed
compat-table/es5/Object.isFrozen.js: failed
compat-table/es5/Object.isSealed.js: failed
compat-table/es5/Object.keys.js: failed
compat-table/es5/Object.preventExtensions.js: failed
compat-table/es5/Object.seal.js: failed
compat-table/es5/String.property-access.js: failed
compat-table/es5/String.prototype.split.js: failed
compat-table/es5/String.prototype.trim.js: failed
compat-table/es5/annex-b.String.prototype.substr.js: failed
compat-table/es5/immutable-globals.Infinity.js: failed
compat-table/es5/immutable-globals.NaN.js: failed
compat-table/es5/immutable-globals.undefined.js: failed
compat-table/es5/literals.getter-accessors.js: Expected ':'
compat-table/es5/literals.reserved-words-properties.js: Expected identifier, string or number
compat-table/es5/literals.setter-accessors.js: Expected ':'
compat-table/es5/literals.trailing-comma-array.js: failed
compat-table/es5/literals.trailing-comma-object.js: Expected identifier, string or number
compat-table/es5/misc.Arguments.toStringTag.js: failed
compat-table/es5/misc.Function.apply.array-likes.js: failed
compat-table/es5/misc.Function.prototype.non-enumerable.js: OK
compat-table/es5/misc.enumerable-shadow.js: failed
compat-table/es5/misc.parseInt.ignores-leading-zeros.js: failed
compat-table/es5/misc.thrown-functions-this.js: OK
compat-table/es5/misc.unreserved-words.js: OK
compat-table/es5/misc.zero-width-identifiers.js: Invalid character
compat-table/es5/strict.arguments-callee-error.js: failed
compat-table/es5/strict.arguments-caller-error.js: failed
compat-table/es5/strict.arguments-unmapped.js: failed
compat-table/es5/strict.assignment-eval-arguments-error.js: failed
compat-table/es5/strict.assignment-non-writable-error.js: Expected ':'
compat-table/es5/strict.assignment-unresolvable-error.js: failed
compat-table/es5/strict.delete-bindings-error.js: failed
compat-table/es5/strict.delete-non-configurable-error.js: failed
compat-table/es5/strict.eval-arguments-bindings-error.js: failed
compat-table/es5/strict.eval-no-bindings.js: failed
compat-table/es5/strict.function-caller-arguments-error.js: failed
compat-table/es5/strict.function-expr-matching-name-arg.js: OK
compat-table/es5/strict.legacy-octal-error.js: failed
compat-table/es5/strict.repeated-params-error.js: failed
compat-table/es5/strict.reserved-words.js: failed
compat-table/es5/strict.this-not-coerced-accessors.js: exception: [object Error]
compat-table/es5/strict.this-not-coerced-methods.js: failed
compat-table/es5/strict.this-undefined.js: failed
compat-table/es5/strict.with-error.js: failed
compat-table/es6/Array.Symbol.species.js: exception: [object Error]
compat-table/es6/Array.from.array-like.js: exception: [object Error]
compat-table/es6/Array.from.generator.js: Expected '('
compat-table/es6/Array.from.iterable-instance.js: exception: [object Error]
compat-table/es6/Array.from.iterable.js: exception: [object Error]
compat-table/es6/Array.from.iterator-closing.js: failed
compat-table/es6/Array.from.map.array-like.js: exception: [object Error]
compat-table/es6/Array.from.map.generator.js: Expected '('
compat-table/es6/Array.from.map.iterable-instance.js: exception: [object Error]
compat-table/es6/Array.from.map.iterable.js: exception: [object Error]
compat-table/es6/Array.iterator-prototype-chain.js: exception: [object Error]
compat-table/es6/Array.of.js: failed
compat-table/es6/Array.prototype.Symbol.iterator.js: exception: [object Error]
compat-table/es6/Array.prototype.Symbol.unscopables.js: exception: [object Error]
compat-table/es6/Array.prototype.copyWithin.js: failed
compat-table/es6/Array.prototype.entries.js: failed
compat-table/es6/Array.prototype.fill.js: failed
compat-table/es6/Array.prototype.findIndex.js: failed
compat-table/es6/Array.prototype.find.js: failed
compat-table/es6/Array.prototype.keys.js: failed
compat-table/es6/Array.prototype.splice.js: failed
compat-table/es6/Array.prototype.values.js: failed
compat-table/es6/Date.prototype.Symbol.toPrimitive.js: exception: [object Error]
compat-table/es6/Function.name.accessor.js: Expected ':'
compat-table/es6/Function.name.bound.js: exception: [object Error]
compat-table/es6/Function.name.class-expression.js: SyntaxError
compat-table/es6/Function.name.class-object-method.js: SyntaxError
compat-table/es6/Function.name.class-prototype.js: SyntaxError
compat-table/es6/Function.name.class-statement.js: SyntaxError
compat-table/es6/Function.name.class-static.js: SyntaxError
compat-table/es6/Function.name.class-variable.js: SyntaxError
compat-table/es6/Function.name.configurable.js: exception: [object Error]
compat-table/es6/Function.name.expression.js: failed
compat-table/es6/Function.name.new-Function.js: failed
compat-table/es6/Function.name.object-method.js: failed
compat-table/es6/Function.name.shorthand.js: Expected ':'
compat-table/es6/Function.name.shorthand.no-lexical.js: Expected ':'
compat-table/es6/Function.name.statement.js: failed
compat-table/es6/Function.name.symbol-keyed.js: Expected identifier, string or number
compat-table/es6/Function.name.variable.js: failed
compat-table/es6/Map.Symbol.species.js: exception: [object Error]
compat-table/es6/Map.constructor-accepts-null.js: exception: [object Error]
compat-table/es6/Map.constructor-arguments.js: exception: [object Error]
compat-table/es6/Map.constructor-invokes-set.js: exception: [object Error]
compat-table/es6/Map.constructor-requires-new.js: exception: [object Error]
compat-table/es6/Map.iterator-closing.js: failed
compat-table/es6/Map.iterator-prototype-chain.js: exception: [object Error]
compat-table/es6/Map.js: exception: [object Error]
compat-table/es6/Map.prototype-not-instance.js: exception: [object Error]
compat-table/es6/Map.prototype.Symbol.iterator.js: exception: [object Error]
compat-table/es6/Map.prototype.clear.js: exception: [object Error]
compat-table/es6/Map.prototype.delete.js: Expected identifier
compat-table/es6/Map.prototype.entries.js: exception: [object Error]
compat-table/es6/Map.prototype.forEach.js: exception: [object Error]
compat-table/es6/Map.prototype.keys.js: exception: [object Error]
compat-table/es6/Map.prototype.set-returns-this.js: exception: [object Error]
compat-table/es6/Map.prototype.size.js: exception: [object Error]
compat-table/es6/Map.prototype.values.js: exception: [object Error]
compat-table/es6/Map.zero-key.js: exception: [object Error]
compat-table/es6/Math.acosh.js: failed
compat-table/es6/Math.asinh.js: failed
compat-table/es6/Math.atanh.js: failed
compat-table/es6/Math.cbrt.js: failed
compat-table/es6/Math.clz32.js: failed
compat-table/es6/Math.cosh.js: failed
compat-table/es6/Math.expm1.js: failed
compat-table/es6/Math.fround.js: failed
compat-table/es6/Math.hypot.js: exception: [object Error]
compat-table/es6/Math.imul.js: failed
compat-table/es6/Math.log1p.js: failed
compat-table/es6/Math.log2.js: failed
compat-table/es6/Math.log10.js: failed
compat-table/es6/Math.sign.js: failed
compat-table/es6/Math.sinh.js: failed
compat-table/es6/Math.tanh.js: failed
compat-table/es6/Math.trunc.js: failed
compat-table/es6/Number.EPSILON.js: failed
compat-table/es6/Number.MAX_SAFE_INTEGER.js: failed
compat-table/es6/Number.MIN_SAFE_INTEGER.js: failed
compat-table/es6/Number.isFinite.js: failed
compat-table/es6/Number.isInteger.js: failed
compat-table/es6/Number.isNaN.js: failed
compat-table/es6/Number.isSafeInteger.js: failed
compat-table/es6/Number.parseFloat.js: failed
compat-table/es6/Number.parseInt.js: failed
compat-table/es6/Object.assign.js: exception: [object Error]
compat-table/es6/Object.getOwnPropertySymbols.js: exception: [object Error]
compat-table/es6/Object.is.js: failed
compat-table/es6/Object.setPrototypeOf.js: exception: [object Error]
compat-table/es6/Promise.Symbol.species.js: exception: [object Error]
compat-table/es6/Promise.all.iterable.js: Expected identifier
compat-table/es6/Promise.all.js: Expected identifier
compat-table/es6/Promise.constructor-requires-new.js: exception: [object Error]
compat-table/es6/Promise.js: Expected identifier
compat-table/es6/Promise.prototype-not-instance.js: exception: [object Error]
compat-table/es6/Promise.race.iterable.js: Expected identifier
compat-table/es6/Promise.race.js: Expected identifier
compat-table/es6/Proxy.Array.isArray.js: exception: [object Error]
compat-table/es6/Proxy.JSON.stringify.js: exception: [object Error]
compat-table/es6/Proxy.constructor-requires-new.js: exception: [object Error]
compat-table/es6/Proxy.handler.apply.invariants.js: exception: [object Error]
compat-table/es6/Proxy.handler.apply.js: exception: [object Error]
compat-table/es6/Proxy.handler.construct.invariants.js: exception: [object Error]
compat-table/es6/Proxy.handler.construct.js: exception: [object Error]
compat-table/es6/Proxy.handler.defineProperty.invariants.js: exception: [object Error]
compat-table/es6/Proxy.handler.defineProperty.js: exception: [object Error]
compat-table/es6/Proxy.handler.deleteProperty.invariants.js: exception: [object Error]
compat-table/es6/Proxy.handler.deleteProperty.js: exception: [object Error]
compat-table/es6/Proxy.handler.getOwnPropertyDescriptor.invariants.js: exception: [object Error]
compat-table/es6/Proxy.handler.getOwnPropertyDescriptor.js: exception: [object Error]
compat-table/es6/Proxy.handler.getPrototypeOf.invariants.js: exception: [object Error]
compat-table/es6/Proxy.handler.getPrototypeOf.js: exception: [object Error]
compat-table/es6/Proxy.handler.get.instances.js: exception: [object Error]
compat-table/es6/Proxy.handler.get.invariants.js: exception: [object Error]
compat-table/es6/Proxy.handler.get.js: exception: [object Error]
compat-table/es6/Proxy.handler.has.instances.js: exception: [object Error]
compat-table/es6/Proxy.handler.has.invariants.js: exception: [object Error]
compat-table/es6/Proxy.handler.has.js: exception: [object Error]
compat-table/es6/Proxy.handler.isExtensible.invariants.js: exception: [object Error]
compat-table/es6/Proxy.handler.isExtensible.js: exception: [object Error]
compat-table/es6/Proxy.handler.ownKeys.invariants.js: exception: [object Error]
compat-table/es6/Proxy.handler.ownKeys.js: exception: [object Error]
compat-table/es6/Proxy.handler.preventExtensions.invariants.js: exception: [object Error]
compat-table/es6/Proxy.handler.preventExtensions.js: exception: [object Error]
compat-table/es6/Proxy.handler.setPrototypeOf.invariants.js: exception: [object Error]
compat-table/es6/Proxy.handler.setPrototypeOf.js: exception: [object Error]
compat-table/es6/Proxy.handler.set.instances.js: exception: [object Error]
compat-table/es6/Proxy.handler.set.invariants.js: exception: [object Error]
compat-table/es6/Proxy.handler.set.js: exception: [object Error]
compat-table/es6/Proxy.no-prototype.js: exception: [object Error]
compat-table/es6/Proxy.revocable.js: exception: [object Error]
compat-table/es6/Reflect.apply.js: exception: [object Error]
compat-table/es6/Reflect.construct.Array-subclassing.js: exception: [object Error]
compat-table/es6/Reflect.construct.Function-subclassing.js: exception: [object Error]
