Metadata: {"arch":"arm64","binary_sha256":"a56577e06674521560b425142fc3a310a2ad2a296478aa1d2a367759e348a3f7","binary_size":1806448,"console_log":"println","engine":"dmdscript","repository":"https://github.com/DigitalMars/DMDScript.git","revision":"45a0ba2b11162e90de7e96876289c3020ab208f5","revision_date":"2026-03-03","version":"2.1.3"}
es3/labelled.statements.js: OK
es3/literals.array.elisions.js: OK
es3/literals.array.js: OK
es3/literals.array.trailing-comma.js: OK
es3/literals.object.decimal.js: OK
es3/literals.object.hex.js: OK
es3/literals.object.int.js: OK
es3/literals.object.js: OK
es3/literals.object.str.js: OK
es3/literals.object.unicode.js: OK
es3/literals.regex.ambiguous.js: OK
es3/literals.regex.empty.js: *+? not allowed in atom
es3/literals.regex.js: OK
es3/literals.string.esc-v.js: OK
es3/nested-functions.eval.js: OK
es3/nested-functions.js: OK
es3/regex.backref.js: OK
es3/regex.begin.js: OK
es3/regex.bracket.esc-b.js: OK
es3/regex.bracket.js: OK
es3/regex.bracket.ranges.js: dash after range failed
es3/regex.class.esc-d.js: OK
es3/regex.class.esc-s.js: OK
es3/regex.class.esc-w.js: OK
es3/regex.disjunction.js: OK
es3/regex.dot.js: OK
es3/regex.end.js: OK
es3/regex.escape.control.js: OK
es3/regex.escape.hex.js: OK
es3/regex.escape.js: OK
es3/regex.escape.nul.js: OK
es3/regex.escape.unicode.js: OK
es3/regex.flag.global.js: OK
es3/regex.flag.ignorecase.js: OK
es3/regex.flag.multiline.js: $ before LF failed
es3/regex.group.js: OK
es3/regex.lookahead.js: *+? not allowed in atom
es3/regex.negative-lookahead.js: *+? not allowed in atom
es3/regex.non-capturing-group.js: *+? not allowed in atom
es3/regex.quantifier.exact.js: OK
es3/regex.quantifier.maybe.js: OK
es3/regex.quantifier.min.js: OK
es3/regex.quantifier.plus.js: OK
es3/regex.quantifier.range.js: OK
es3/regex.quantifier.star.js: OK
es3/regex.word-boundary.js: OK
es3/source.line-terminators.js: failed
es3/source.whitespace.js: OK
es3/source.whitespace.unicode.js: SyntaxError: unsupported char 0x2003
es3/strict-equals.js: OK
es3/switch.js: OK
es3/try-catch-finally.js: OK
es3/try-catch-throw.js: OK
es5/Array.isArray.js: Object function Array() { [native code] }.isArray is undefined and has no Call method
es5/Array.prototype.every.js: Object 2,4,6,8.every is undefined and has no Call method
es5/Array.prototype.filter.js: Object 1,2,3,4,5,6.filter is undefined and has no Call method
es5/Array.prototype.forEach.js: Object 1,2,3,4.forEach is undefined and has no Call method
es5/Array.prototype.indexOf.js: Object 1,2,3,2,1.indexOf is undefined and has no Call method
es5/Array.prototype.lastIndexOf.js: Object 1,2,3,2,1.lastIndexOf is undefined and has no Call method
es5/Array.prototype.map.js: Object 1,2,3.map is undefined and has no Call method
es5/Array.prototype.reduceRight.js: Object 1,2,3,4.reduceRight is undefined and has no Call method
es5/Array.prototype.reduce.js: Object 1,2,3,4.reduce is undefined and has no Call method
es5/Array.prototype.some.js: Object 1,2,3,4.some is undefined and has no Call method
es5/Array.prototype.sort.TypeError.js: failed
es5/Array.prototype.sort.undefined-comparefn.js: OK
es5/Date.now.js: Object function Date() { [native code] }.now is undefined and has no Call method
es5/Date.prototype.toISOString.js: Object Wed Jan 01 00:00:00 GMT+0000 2025.toISOString is undefined and has no Call method
es5/Date.prototype.toJSON.js: Undefined undefined.call is undefined and has no Call method
es5/Function.prototype-not-enumerable.js: OK
es5/Function.prototype.apply.array-like.js: array-like object not accepted
es5/Function.prototype.bind.js: Object function getX()
es5/JSON.js: typeof JSON !== 'object'
es5/JSON.parse.js: ReferenceError: 'JSON' is not defined
es5/JSON.parse.reviver.js: ReferenceError: 'JSON' is not defined
es5/JSON.stringify.js: ReferenceError: 'JSON' is not defined
es5/JSON.stringify.replacer.js: ReferenceError: 'JSON' is not defined
es5/JSON.stringify.space.js: ReferenceError: 'JSON' is not defined
es5/Object.create.js: Object function Function() { [native code] }.create is undefined and has no Call method
es5/Object.defineProperties.js: Object function Function() { [native code] }.defineProperties is undefined and has no Call method
es5/Object.defineProperty.js: Object function Function() { [native code] }.defineProperty is undefined and has no Call method
es5/Object.freeze.js: Object function Function() { [native code] }.freeze is undefined and has no Call method
es5/Object.getOwnPropertyDescriptor.js: Object function Function() { [native code] }.getOwnPropertyDescriptor is undefined and has no Call method
es5/Object.getOwnPropertyNames.js: Object function Function() { [native code] }.getOwnPropertyNames is undefined and has no Call method
es5/Object.getPrototypeOf.js: Object function Function() { [native code] }.create is undefined and has no Call method
es5/Object.isExtensible.js: Object function Function() { [native code] }.isExtensible is undefined and has no Call method
es5/Object.isFrozen.js: Object function Function() { [native code] }.isFrozen is undefined and has no Call method
es5/Object.isSealed.js: Object function Function() { [native code] }.isSealed is undefined and has no Call method
es5/Object.keys.js: Object function Function() { [native code] }.keys is undefined and has no Call method
es5/Object.preventExtensions.js: Object function Function() { [native code] }.preventExtensions is undefined and has no Call method
es5/Object.property-shadowing.js: OK
es5/Object.seal.js: Object function Function() { [native code] }.seal is undefined and has no Call method
es5/String.indexing.js: 'foobar'[3] !== 'b'; test with variable failed
es5/String.prototype.trim.js: String   hello  .trim is undefined and has no Call method
es5/arguments.toStringTag.js: failed
es5/debugger.js: SyntaxError: found 'debugger' instead of statement
es5/global.Infinity.immutable.js: Infinity is not a number after assignment; Infinity not positive infinity after assignment
es5/global.NaN.immutable.js: NaN is not a number after assignment; NaN === NaN after assignment
es5/global.parseInt.no-octal.js: parseInt('010') !== 10; parseInt('0100') !== 100; parseInt('077') !== 77
es5/global.undefined.immutable.js: undefined is not undefined after assignment
es5/literals.object.getters.js: SyntaxError: found 'x' when expecting ':'
es5/literals.object.setters.js: SyntaxError: found 'x' when expecting ':'
es5/literals.object.trailing-comma.js: OK
es5/source.keyword-properties.js: SyntaxError: identifier expected
es5/source.unreserved-words.js: SyntaxError: identifier expected instead of 'abstract'
es5/source.whitespace.bom.js: SyntaxError: unsupported char 0xfeff
es5/source.zero-width-chars.js: SyntaxError: found '' when expecting ';'
es5/strict.eval-cannot-create-bindings.js: failed
es5/strict.function-expr-with-matching-name.js: OK
es5/strict.js: failed
es5/strict.no-arguments-callee.js: failed
es5/strict.no-arguments-caller.js: failed
es5/strict.no-assignment-to-non-writable.js: SyntaxError: found 'x' when expecting ':'
es5/strict.no-assignment-to-unresolvable.js: failed
es5/strict.no-delete-bindings.js: failed
es5/strict.no-delete-non-configurable.js: failed
es5/strict.no-duplicate-parameters.js: failed
es5/strict.no-eval-or-arguments-assignment.js: failed
es5/strict.no-eval-or-arguments-bindings.js: failed
es5/strict.no-function-caller-or-arguments.js: failed
es5/strict.no-octal-literals.js: failed
es5/strict.no-with.js: failed
es5/strict.reserved-words.js: 'var let' did not throw in strict mode
es5/strict.this-primitive-not-coerced-in-accessors.js: Object function Function() { [native code] }.defineProperty is undefined and has no Call method
es5/strict.this-primitive-not-coerced.js: string 'this' was coerced to object
es5/strict.this-undefined-in-function.js: outer 'this' is not undefined
es5/strict.unmapped-arguments.js: OK
es5/this.thrown-function.js: OK
compat-table/es5/Array.isArray.js: failed
compat-table/es5/Array.prototype.every.js: failed
compat-table/es5/Array.prototype.filter.js: failed
compat-table/es5/Array.prototype.forEach.js: failed
compat-table/es5/Array.prototype.indexOf.js: failed
compat-table/es5/Array.prototype.lastIndexOf.js: failed
compat-table/es5/Array.prototype.map.js: failed
compat-table/es5/Array.prototype.reduceRight.js: failed
compat-table/es5/Array.prototype.reduce.js: failed
compat-table/es5/Array.prototype.some.js: failed
compat-table/es5/Array.prototype.sort.compareFn-type.js: SyntaxError: found '[' instead of statement
compat-table/es5/Array.prototype.sort.compareFn-undefined.js: OK
compat-table/es5/Array.prototype.unshift.return-count.js: OK
compat-table/es5/Date.now.js: failed
compat-table/es5/Date.prototype.toISOString.js: failed
compat-table/es5/Date.prototype.toJSON.js: failed
compat-table/es5/Function.prototype.bind.js: failed
compat-table/es5/JSON.js: failed
compat-table/es5/Number.prototype.toExponential.no-throw-edge-cases.js: OK
compat-table/es5/Number.prototype.toExponential.rounds-properly.js: failed
compat-table/es5/Number.prototype.toExponential.throws-infinity.js: OK
compat-table/es5/Object.create.js: failed
compat-table/es5/Object.defineProperties.js: failed
compat-table/es5/Object.defineProperty.js: failed
compat-table/es5/Object.freeze.js: failed
compat-table/es5/Object.getOwnPropertyDescriptor.js: failed
compat-table/es5/Object.getOwnPropertyNames.js: failed
compat-table/es5/Object.getPrototypeOf.js: failed
compat-table/es5/Object.isExtensible.js: failed
compat-table/es5/Object.isFrozen.js: failed
compat-table/es5/Object.isSealed.js: failed
compat-table/es5/Object.keys.js: failed
compat-table/es5/Object.preventExtensions.js: failed
compat-table/es5/Object.seal.js: failed
compat-table/es5/String.property-access.js: failed
compat-table/es5/String.prototype.split.js: *+? not allowed in atom
compat-table/es5/String.prototype.trim.js: failed
compat-table/es5/annex-b.String.prototype.substr.js: OK
compat-table/es5/immutable-globals.Infinity.js: failed
compat-table/es5/immutable-globals.NaN.js: failed
compat-table/es5/immutable-globals.undefined.js: failed
compat-table/es5/literals.getter-accessors.js: SyntaxError: found 'x' when expecting ':'
compat-table/es5/literals.reserved-words-properties.js: SyntaxError: identifier expected
compat-table/es5/literals.setter-accessors.js: SyntaxError: found 'x' when expecting ':'
compat-table/es5/literals.trailing-comma-array.js: OK
compat-table/es5/literals.trailing-comma-object.js: OK
compat-table/es5/misc.Arguments.toStringTag.js: failed
compat-table/es5/misc.Function.apply.array-likes.js: failed
compat-table/es5/misc.Function.prototype.non-enumerable.js: OK
compat-table/es5/misc.enumerable-shadow.js: OK
compat-table/es5/misc.parseInt.ignores-leading-zeros.js: failed
compat-table/es5/misc.thrown-functions-this.js: OK
compat-table/es5/misc.unreserved-words.js: SyntaxError: identifier expected instead of 'abstract'
compat-table/es5/misc.zero-width-identifiers.js: SyntaxError: found '' when expecting ';'
compat-table/es5/strict.arguments-callee-error.js: failed
compat-table/es5/strict.arguments-caller-error.js: failed
compat-table/es5/strict.arguments-unmapped.js: OK
compat-table/es5/strict.assignment-eval-arguments-error.js: failed
compat-table/es5/strict.assignment-non-writable-error.js: SyntaxError: found 'x' when expecting ':'
compat-table/es5/strict.assignment-unresolvable-error.js: failed
compat-table/es5/strict.delete-bindings-error.js: failed
compat-table/es5/strict.delete-non-configurable-error.js: failed
compat-table/es5/strict.eval-arguments-bindings-error.js: failed
compat-table/es5/strict.eval-no-bindings.js: failed
compat-table/es5/strict.function-caller-arguments-error.js: failed
compat-table/es5/strict.function-expr-matching-name-arg.js: OK
compat-table/es5/strict.legacy-octal-error.js: failed
compat-table/es5/strict.repeated-params-error.js: failed
compat-table/es5/strict.reserved-words.js: failed
compat-table/es5/strict.this-not-coerced-accessors.js: TypeError: Object function Function() { [native code] }.defineProperty is undefined and has no Call method
compat-table/es5/strict.this-not-coerced-methods.js: failed
compat-table/es5/strict.this-undefined.js: failed
compat-table/es5/strict.with-error.js: failed
compat-table/es6/Array.Symbol.species.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Array.from.array-like.js: TypeError: Object function Array() { [native code] }.from is undefined and has no Call method
compat-table/es6/Array.from.generator.js: SyntaxError: found '*' when expecting '('
compat-table/es6/Array.from.iterable-instance.js: TypeError: Object function Function() { [native code] }.create is undefined and has no Call method
compat-table/es6/Array.from.iterable.js: TypeError: Object function Array() { [native code] }.from is undefined and has no Call method
compat-table/es6/Array.from.iterator-closing.js: failed
compat-table/es6/Array.from.map.array-like.js: TypeError: Object function Array() { [native code] }.from is undefined and has no Call method
compat-table/es6/Array.from.map.generator.js: SyntaxError: found '*' when expecting '('
compat-table/es6/Array.from.map.iterable-instance.js: TypeError: Object function Function() { [native code] }.create is undefined and has no Call method
compat-table/es6/Array.from.map.iterable.js: TypeError: Object function Array() { [native code] }.from is undefined and has no Call method
compat-table/es6/Array.iterator-prototype-chain.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Array.of.js: failed
compat-table/es6/Array.prototype.Symbol.iterator.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Array.prototype.Symbol.unscopables.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Array.prototype.copyWithin.js: failed
compat-table/es6/Array.prototype.entries.js: failed
compat-table/es6/Array.prototype.fill.js: failed
compat-table/es6/Array.prototype.findIndex.js: failed
compat-table/es6/Array.prototype.find.js: failed
compat-table/es6/Array.prototype.keys.js: failed
compat-table/es6/Array.prototype.splice.js: failed
compat-table/es6/Array.prototype.values.js: failed
compat-table/es6/Date.prototype.Symbol.toPrimitive.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Function.name.accessor.js: SyntaxError: found 'foo' when expecting ':'
compat-table/es6/Function.name.bound.js: TypeError: Object function foo()
compat-table/es6/Function.name.class-expression.js: SyntaxError: expression expected, not 'class'
compat-table/es6/Function.name.class-object-method.js: SyntaxError: expression expected, not 'class'
compat-table/es6/Function.name.class-prototype.js: SyntaxError: found 'class' instead of statement
compat-table/es6/Function.name.class-statement.js: SyntaxError: found 'class' instead of statement
compat-table/es6/Function.name.class-static.js: SyntaxError: found 'class' instead of statement
compat-table/es6/Function.name.class-variable.js: SyntaxError: expression expected, not 'class'
compat-table/es6/Function.name.configurable.js: TypeError: Object function Function() { [native code] }.getOwnPropertyDescriptor is undefined and has no Call method
compat-table/es6/Function.name.expression.js: failed
compat-table/es6/Function.name.new-Function.js: failed
compat-table/es6/Function.name.object-method.js: failed
compat-table/es6/Function.name.shorthand.js: SyntaxError: found '(' when expecting ':'
compat-table/es6/Function.name.shorthand.no-lexical.js: SyntaxError: found '(' when expecting ':'
compat-table/es6/Function.name.statement.js: failed
compat-table/es6/Function.name.symbol-keyed.js: SyntaxError: identifier expected
compat-table/es6/Function.name.variable.js: failed
compat-table/es6/Map.Symbol.species.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Map.constructor-accepts-null.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.constructor-arguments.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.constructor-invokes-set.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.constructor-requires-new.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.iterator-closing.js: failed
compat-table/es6/Map.iterator-prototype-chain.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.prototype-not-instance.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.prototype.Symbol.iterator.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.prototype.clear.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.prototype.delete.js: SyntaxError: identifier expected following '.', not 'delete'
compat-table/es6/Map.prototype.entries.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.prototype.forEach.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.prototype.keys.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.prototype.set-returns-this.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.prototype.size.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.prototype.values.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.zero-key.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Math.acosh.js: failed
compat-table/es6/Math.asinh.js: failed
compat-table/es6/Math.atanh.js: failed
compat-table/es6/Math.cbrt.js: failed
compat-table/es6/Math.clz32.js: failed
compat-table/es6/Math.cosh.js: failed
compat-table/es6/Math.expm1.js: failed
compat-table/es6/Math.fround.js: failed
compat-table/es6/Math.hypot.js: TypeError: Object [object Math].hypot is undefined and has no Call method
compat-table/es6/Math.imul.js: failed
compat-table/es6/Math.log1p.js: failed
compat-table/es6/Math.log2.js: failed
compat-table/es6/Math.log10.js: failed
compat-table/es6/Math.sign.js: failed
compat-table/es6/Math.sinh.js: failed
compat-table/es6/Math.tanh.js: failed
compat-table/es6/Math.trunc.js: failed
compat-table/es6/Number.EPSILON.js: failed
compat-table/es6/Number.MAX_SAFE_INTEGER.js: failed
compat-table/es6/Number.MIN_SAFE_INTEGER.js: failed
compat-table/es6/Number.isFinite.js: failed
compat-table/es6/Number.isInteger.js: failed
compat-table/es6/Number.isNaN.js: failed
compat-table/es6/Number.isSafeInteger.js: failed
compat-table/es6/Number.parseFloat.js: failed
compat-table/es6/Number.parseInt.js: failed
compat-table/es6/Object.assign.js: TypeError: Object function Function() { [native code] }.assign is undefined and has no Call method
compat-table/es6/Object.getOwnPropertySymbols.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Object.is.js: failed
