Metadata: {"arch":"arm64","binary_sha256":"7d31a144584607a38a79e7d51f49d748ef53ba4b0294948b98bd60894cbd92af","binary_size":2261264,"console_log":"console.log","engine":"besen","repository":"https://github.com/BeRo1985/besen.git","revision":"1c271815cf13291d3e4b636999ff7ecd7aa0993b","revision_date":"2020-10-21"}
es3/global.encodeURIComponent.js: encode UTF-8 failed; encode reserved chars failed
es3/global.encodeURI.js: encode UTF-8 failed
es3/global.undefined.js: OK
es3/identifiers.unicode.js: OK
es3/instanceof.js: OK
es3/in.js: OK
es3/labelled.break.js: OK
es3/labelled.continue.js: OK
es3/labelled.statements.js: OK
es3/literals.array.elisions.js: OK
es3/literals.array.js: OK
es3/literals.array.trailing-comma.js: OK
es3/literals.object.decimal.js: property name 1.5 failed; property name 3.14 failed
es3/literals.object.hex.js: OK
es3/literals.object.int.js: OK
es3/literals.object.js: OK
es3/literals.object.str.js: OK
es3/literals.object.unicode.js: OK
es3/literals.regex.ambiguous.js: OK
es3/literals.regex.empty.js: OK
es3/literals.regex.js: OK
es3/literals.string.esc-v.js: OK
es3/nested-functions.eval.js: OK
es3/nested-functions.js: OK
es3/regex.backref.js: OK
es3/regex.begin.js: OK
es3/regex.bracket.esc-b.js: OK
es3/regex.bracket.js: OK
es3/regex.bracket.ranges.js: OK
es3/regex.class.esc-d.js: OK
es3/regex.class.esc-s.js: OK
es3/regex.class.esc-w.js: OK
es3/regex.disjunction.js: OK
es3/regex.dot.js: OK
es3/regex.end.js: OK
es3/regex.escape.control.js: OK
es3/regex.escape.hex.js: OK
es3/regex.escape.js: OK
es3/regex.escape.nul.js: OK
es3/regex.escape.unicode.js: OK
es3/regex.flag.global.js: global match failed; multiple matches failed
es3/regex.flag.ignorecase.js: OK
es3/regex.flag.multiline.js: $ before LF failed
es3/regex.group.js: OK
es3/regex.lookahead.js: OK
es3/regex.negative-lookahead.js: OK
es3/regex.non-capturing-group.js: OK
es3/regex.quantifier.exact.js: OK
es3/regex.quantifier.maybe.js: OK
es3/regex.quantifier.min.js: OK
es3/regex.quantifier.plus.js: OK
es3/regex.quantifier.range.js: OK
es3/regex.quantifier.star.js: OK
es3/regex.word-boundary.js: OK
es3/source.line-terminators.js: OK
es3/source.whitespace.js: OK
es3/source.whitespace.unicode.js: OK
es3/strict-equals.js: OK
es3/switch.js: OK
es3/try-catch-finally.js: OK
es3/try-catch-throw.js: OK
es5/Array.isArray.js: OK
es5/Array.prototype.every.js: OK
es5/Array.prototype.filter.js: OK
es5/Array.prototype.forEach.js: OK
es5/Array.prototype.indexOf.js: OK
es5/Array.prototype.lastIndexOf.js: OK
es5/Array.prototype.map.js: OK
es5/Array.prototype.reduceRight.js: OK
es5/Array.prototype.reduce.js: OK
es5/Array.prototype.some.js: OK
es5/Array.prototype.sort.TypeError.js: OK
es5/Array.prototype.sort.undefined-comparefn.js: TypeError: Bad argument
es5/Date.now.js: OK
es5/Date.prototype.toISOString.js: invalid date does not throw RangeError
es5/Date.prototype.toJSON.js: OK
es5/Function.prototype-not-enumerable.js: OK
es5/Function.prototype.apply.array-like.js: OK
es5/Function.prototype.bind.js: OK
es5/JSON.js: OK
es5/JSON.parse.js: timeout: >10s
es5/JSON.parse.reviver.js: OK
es5/JSON.stringify.js: failed to drop undefined/function values
es5/JSON.stringify.replacer.js: OK
es5/JSON.stringify.space.js: OK
es5/Object.create.js: OK
es5/Object.defineProperties.js: OK
es5/Object.defineProperty.js: OK
es5/Object.freeze.js: OK
es5/Object.getOwnPropertyDescriptor.js: OK
es5/Object.getOwnPropertyNames.js: OK
es5/Object.getPrototypeOf.js: OK
es5/Object.isExtensible.js: OK
es5/Object.isFrozen.js: OK
es5/Object.isSealed.js: OK
es5/Object.keys.js: OK
es5/Object.preventExtensions.js: OK
es5/Object.property-shadowing.js: OK
es5/Object.seal.js: OK
es5/String.indexing.js: OK
es5/String.prototype.trim.js: OK
es5/arguments.toStringTag.js: OK
es5/debugger.js: OK
es5/global.Infinity.immutable.js: OK
es5/global.NaN.immutable.js: OK
es5/global.parseInt.no-octal.js: OK
es5/global.undefined.immutable.js: OK
es5/literals.object.getters.js: OK
es5/literals.object.setters.js: OK
es5/literals.object.trailing-comma.js: OK
es5/source.keyword-properties.js: OK
es5/source.unreserved-words.js: OK
es5/source.whitespace.bom.js: OK
es5/source.zero-width-chars.js: OK
es5/strict.eval-cannot-create-bindings.js: OK
es5/strict.function-expr-with-matching-name.js: OK
es5/strict.js: OK
es5/strict.no-arguments-callee.js: OK
es5/strict.no-arguments-caller.js: OK
es5/strict.no-assignment-to-non-writable.js: OK
es5/strict.no-assignment-to-unresolvable.js: OK
es5/strict.no-delete-bindings.js: failed
es5/strict.no-delete-non-configurable.js: OK
es5/strict.no-duplicate-parameters.js: timeout: >10s
es5/strict.no-eval-or-arguments-assignment.js: OK
es5/strict.no-eval-or-arguments-bindings.js: timeout: >10s
es5/strict.no-function-caller-or-arguments.js: OK
es5/strict.no-octal-literals.js: OK
es5/strict.no-with.js: timeout: >10s
es5/strict.reserved-words.js: timeout: >10s
es5/strict.this-primitive-not-coerced-in-accessors.js: OK
es5/strict.this-primitive-not-coerced.js: OK
es5/strict.this-undefined-in-function.js: OK
es5/strict.unmapped-arguments.js: OK
es5/this.thrown-function.js: OK
