Metadata: {"arch":"arm64","binary_sha256":"6f7c2f0fdd37526569ffe18014c1c95853d523e940a484b63251bab4efb271c4","binary_size":4897368,"console_log":"console.log","engine":"otto","go":"1.26.1","repository":"https://github.com/robertkrimen/otto.git","revision":"3ca729876b8973d2faeb6f25d1c8e7dd6580063a","revision_date":"2025-06-13","version":"0.5.1-2-g3ca7298"}
es3/identifiers.unicode.js: OK
es3/instanceof.js: OK
es3/in.js: OK
es3/labelled.break.js: OK
es3/labelled.continue.js: OK
es3/labelled.statements.js: OK
es3/literals.array.elisions.js: OK
es3/literals.array.js: OK
es3/literals.array.trailing-comma.js: OK
es3/literals.object.decimal.js: property name 1e2 failed; property name 2.5e1 failed
es3/literals.object.hex.js: property name 0xff failed; property name 0x10 failed; property name 0xABC failed
es3/literals.object.int.js: OK
es3/literals.object.js: OK
es3/literals.object.str.js: OK
es3/literals.object.unicode.js: OK
es3/literals.regex.ambiguous.js: OK
es3/literals.regex.empty.js: OK
es3/literals.regex.js: OK
es3/literals.string.esc-v.js: OK
es3/nested-functions.eval.js: OK
es3/nested-functions.js: OK
es3/regex.backref.js: SyntaxError: Invalid regular expression: re2: Invalid \1 <backreference> (and 2 more errors)
es3/regex.begin.js: OK
es3/regex.bracket.esc-b.js: OK
es3/regex.bracket.js: OK
es3/regex.bracket.ranges.js: OK
es3/regex.class.esc-d.js: OK
es3/regex.class.esc-s.js: OK
es3/regex.class.esc-w.js: OK
es3/regex.disjunction.js: OK
es3/regex.dot.js: OK
es3/regex.end.js: OK
es3/regex.escape.control.js: OK
es3/regex.escape.hex.js: OK
es3/regex.escape.js: OK
es3/regex.escape.nul.js: OK
es3/regex.escape.unicode.js: OK
es3/regex.flag.global.js: OK
es3/regex.flag.ignorecase.js: OK
es3/regex.flag.multiline.js: OK
es3/regex.group.js: OK
es3/regex.lookahead.js: SyntaxError: Invalid regular expression: re2: Invalid (?=) <lookahead> (and 2 more errors)
es3/regex.negative-lookahead.js: SyntaxError: Invalid regular expression: re2: Invalid (?!) <lookahead> (and 2 more errors)
es3/regex.non-capturing-group.js: OK
es3/regex.quantifier.exact.js: OK
es3/regex.quantifier.maybe.js: OK
es3/regex.quantifier.min.js: OK
es3/regex.quantifier.plus.js: OK
es3/regex.quantifier.range.js: OK
es3/regex.quantifier.star.js: OK
es3/regex.word-boundary.js: OK
es3/source.line-terminators.js: OK
es3/source.whitespace.js: OK
es3/source.whitespace.unicode.js: OK
es3/strict-equals.js: OK
es3/switch.js: OK
es3/try-catch-finally.js: OK
es3/try-catch-throw.js: OK
es5/Array.isArray.js: OK
es5/Array.prototype.every.js: OK
es5/Array.prototype.filter.js: OK
es5/Array.prototype.forEach.js: OK
es5/Array.prototype.indexOf.js: OK
es5/Array.prototype.lastIndexOf.js: OK
es5/Array.prototype.map.js: OK
es5/Array.prototype.reduceRight.js: OK
es5/Array.prototype.reduce.js: OK
es5/Array.prototype.some.js: OK
es5/Array.prototype.sort.TypeError.js: OK
es5/Array.prototype.sort.undefined-comparefn.js: OK
es5/Date.now.js: OK
es5/Date.prototype.toISOString.js: invalid date does not throw RangeError
es5/Date.prototype.toJSON.js: OK
es5/Function.prototype-not-enumerable.js: OK
es5/Function.prototype.apply.array-like.js: OK
es5/Function.prototype.bind.js: OK
es5/JSON.js: OK
es5/JSON.parse.js: OK
es5/JSON.parse.reviver.js: OK
es5/JSON.stringify.js: OK
es5/JSON.stringify.replacer.js: OK
es5/JSON.stringify.space.js: OK
es5/Object.create.js: OK
es5/Object.defineProperties.js: OK
es5/Object.defineProperty.js: OK
es5/Object.freeze.js: OK
es5/Object.getOwnPropertyDescriptor.js: OK
es5/Object.getOwnPropertyNames.js: OK
es5/Object.getPrototypeOf.js: OK
es5/Object.isExtensible.js: OK
es5/Object.isFrozen.js: OK
es5/Object.isSealed.js: OK
es5/Object.keys.js: OK
es5/Object.preventExtensions.js: OK
es5/Object.property-shadowing.js: non-enumerable did not shadow enumerable
es5/Object.seal.js: OK
es5/String.indexing.js: OK
es5/String.prototype.trim.js: OK
es5/arguments.toStringTag.js: OK
es5/debugger.js: OK
es5/global.Infinity.immutable.js: OK
es5/global.NaN.immutable.js: OK
es5/global.parseInt.no-octal.js: OK
es5/global.undefined.immutable.js: OK
es5/literals.object.getters.js: OK
es5/literals.object.setters.js: OK
es5/literals.object.trailing-comma.js: OK
es5/source.keyword-properties.js: OK
es5/source.unreserved-words.js: OK
es5/source.whitespace.bom.js: OK
es5/source.zero-width-chars.js: SyntaxError: Unexpected token ILLEGAL (and 5 more errors)
es5/strict.eval-cannot-create-bindings.js: failed
es5/strict.function-expr-with-matching-name.js: OK
es5/strict.js: failed
es5/strict.no-arguments-callee.js: failed
es5/strict.no-arguments-caller.js: OK
es5/strict.no-assignment-to-non-writable.js: failed
es5/strict.no-assignment-to-unresolvable.js: failed
es5/strict.no-delete-bindings.js: failed
es5/strict.no-delete-non-configurable.js: failed
es5/strict.no-duplicate-parameters.js: failed
es5/strict.no-eval-or-arguments-assignment.js: failed
es5/strict.no-eval-or-arguments-bindings.js: failed
es5/strict.no-function-caller-or-arguments.js: failed
es5/strict.no-octal-literals.js: failed
es5/strict.no-with.js: failed
es5/strict.reserved-words.js: 'var implements' did not throw in strict mode
es5/strict.this-primitive-not-coerced-in-accessors.js: string 'this' was coerced in accessor
es5/strict.this-primitive-not-coerced.js: string 'this' was coerced to object
es5/strict.this-undefined-in-function.js: outer 'this' is not undefined
es5/strict.unmapped-arguments.js: failed
es5/this.thrown-function.js: OK
compat-table/es5/Array.isArray.js: OK
compat-table/es5/Array.prototype.every.js: OK
compat-table/es5/Array.prototype.filter.js: OK
compat-table/es5/Array.prototype.forEach.js: OK
compat-table/es5/Array.prototype.indexOf.js: OK
compat-table/es5/Array.prototype.lastIndexOf.js: OK
compat-table/es5/Array.prototype.map.js: OK
compat-table/es5/Array.prototype.reduceRight.js: OK
compat-table/es5/Array.prototype.reduce.js: OK
compat-table/es5/Array.prototype.some.js: OK
compat-table/es5/Array.prototype.sort.compareFn-type.js: OK
compat-table/es5/Array.prototype.sort.compareFn-undefined.js: OK
compat-table/es5/Array.prototype.unshift.return-count.js: OK
compat-table/es5/Date.now.js: OK
compat-table/es5/Date.prototype.toISOString.js: OK
compat-table/es5/Date.prototype.toJSON.js: OK
compat-table/es5/Function.prototype.bind.js: OK
compat-table/es5/JSON.js: OK
compat-table/es5/Number.prototype.toExponential.no-throw-edge-cases.js: OK
compat-table/es5/Number.prototype.toExponential.rounds-properly.js: failed
compat-table/es5/Number.prototype.toExponential.throws-infinity.js: OOM: >4096MB
compat-table/es5/Object.create.js: OK
compat-table/es5/Object.defineProperties.js: OK
compat-table/es5/Object.defineProperty.js: OK
compat-table/es5/Object.freeze.js: OK
compat-table/es5/Object.getOwnPropertyDescriptor.js: OK
compat-table/es5/Object.getOwnPropertyNames.js: OK
compat-table/es5/Object.getPrototypeOf.js: OK
compat-table/es5/Object.isExtensible.js: OK
compat-table/es5/Object.isFrozen.js: OK
compat-table/es5/Object.isSealed.js: OK
compat-table/es5/Object.keys.js: OK
compat-table/es5/Object.preventExtensions.js: OK
compat-table/es5/Object.seal.js: OK
compat-table/es5/String.property-access.js: OK
compat-table/es5/String.prototype.split.js: failed
compat-table/es5/String.prototype.trim.js: OK
compat-table/es5/annex-b.String.prototype.substr.js: OK
compat-table/es5/immutable-globals.Infinity.js: OK
compat-table/es5/immutable-globals.NaN.js: OK
compat-table/es5/immutable-globals.undefined.js: OK
compat-table/es5/literals.getter-accessors.js: OK
compat-table/es5/literals.reserved-words-properties.js: OK
compat-table/es5/literals.setter-accessors.js: OK
compat-table/es5/literals.trailing-comma-array.js: OK
compat-table/es5/literals.trailing-comma-object.js: OK
compat-table/es5/misc.Arguments.toStringTag.js: OK
compat-table/es5/misc.Function.apply.array-likes.js: OK
compat-table/es5/misc.Function.prototype.non-enumerable.js: OK
compat-table/es5/misc.enumerable-shadow.js: failed
compat-table/es5/misc.parseInt.ignores-leading-zeros.js: OK
compat-table/es5/misc.thrown-functions-this.js: OK
compat-table/es5/misc.unreserved-words.js: OK
compat-table/es5/misc.zero-width-identifiers.js: SyntaxError: Unexpected token ILLEGAL (and 3 more errors)
compat-table/es5/strict.arguments-callee-error.js: failed
compat-table/es5/strict.arguments-caller-error.js: OK
compat-table/es5/strict.arguments-unmapped.js: failed
compat-table/es5/strict.assignment-eval-arguments-error.js: failed
compat-table/es5/strict.assignment-non-writable-error.js: failed
compat-table/es5/strict.assignment-unresolvable-error.js: failed
compat-table/es5/strict.delete-bindings-error.js: failed
compat-table/es5/strict.delete-non-configurable-error.js: failed
compat-table/es5/strict.eval-arguments-bindings-error.js: failed
compat-table/es5/strict.eval-no-bindings.js: failed
compat-table/es5/strict.function-caller-arguments-error.js: failed
compat-table/es5/strict.function-expr-matching-name-arg.js: OK
compat-table/es5/strict.legacy-octal-error.js: failed
compat-table/es5/strict.repeated-params-error.js: failed
compat-table/es5/strict.reserved-words.js: failed
compat-table/es5/strict.this-not-coerced-accessors.js: failed
compat-table/es5/strict.this-not-coerced-methods.js: failed
compat-table/es5/strict.this-undefined.js: failed
compat-table/es5/strict.with-error.js: failed
compat-table/es6/Array.Symbol.species.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Array.from.array-like.js: TypeError: "from" is not a function
compat-table/es6/Array.from.generator.js: SyntaxError: Unexpected token * (and 4 more errors)
compat-table/es6/Array.from.iterable-instance.js: TypeError: "from" is not a function
compat-table/es6/Array.from.iterable.js: TypeError: "from" is not a function
compat-table/es6/Array.from.iterator-closing.js: failed
compat-table/es6/Array.from.map.array-like.js: TypeError: "from" is not a function
compat-table/es6/Array.from.map.generator.js: SyntaxError: Unexpected token * (and 4 more errors)
compat-table/es6/Array.from.map.iterable-instance.js: TypeError: "from" is not a function
compat-table/es6/Array.from.map.iterable.js: TypeError: "from" is not a function
compat-table/es6/Array.iterator-prototype-chain.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Array.of.js: failed
compat-table/es6/Array.prototype.Symbol.iterator.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Array.prototype.Symbol.unscopables.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Array.prototype.copyWithin.js: failed
compat-table/es6/Array.prototype.entries.js: failed
compat-table/es6/Array.prototype.fill.js: failed
compat-table/es6/Array.prototype.findIndex.js: failed
compat-table/es6/Array.prototype.find.js: failed
compat-table/es6/Array.prototype.keys.js: failed
compat-table/es6/Array.prototype.splice.js: failed
compat-table/es6/Array.prototype.values.js: failed
compat-table/es6/Date.prototype.Symbol.toPrimitive.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Function.name.accessor.js: failed
compat-table/es6/Function.name.bound.js: OK
compat-table/es6/Function.name.class-expression.js: SyntaxError: Unexpected reserved word (and 1 more errors)
compat-table/es6/Function.name.class-object-method.js: SyntaxError: Unexpected reserved word (and 15 more errors)
compat-table/es6/Function.name.class-prototype.js: SyntaxError: Unexpected reserved word (and 1 more errors)
compat-table/es6/Function.name.class-statement.js: SyntaxError: Unexpected reserved word (and 1 more errors)
compat-table/es6/Function.name.class-static.js: SyntaxError: Unexpected reserved word (and 1 more errors)
compat-table/es6/Function.name.class-variable.js: SyntaxError: Unexpected reserved word (and 5 more errors)
compat-table/es6/Function.name.configurable.js: failed
compat-table/es6/Function.name.expression.js: OK
compat-table/es6/Function.name.new-Function.js: failed
compat-table/es6/Function.name.object-method.js: failed
compat-table/es6/Function.name.shorthand.js: SyntaxError: Unexpected token ( (and 16 more errors)
compat-table/es6/Function.name.shorthand.no-lexical.js: SyntaxError: Unexpected token ( (and 17 more errors)
compat-table/es6/Function.name.statement.js: OK
compat-table/es6/Function.name.symbol-keyed.js: SyntaxError: Unexpected identifier (and 17 more errors)
compat-table/es6/Function.name.variable.js: failed
compat-table/es6/Map.Symbol.species.js: ReferenceError: 'Map' is not defined
compat-table/es6/Map.constructor-accepts-null.js: ReferenceError: 'Map' is not defined
compat-table/es6/Map.constructor-arguments.js: ReferenceError: 'Map' is not defined
compat-table/es6/Map.constructor-invokes-set.js: ReferenceError: 'Map' is not defined
compat-table/es6/Map.constructor-requires-new.js: ReferenceError: 'Map' is not defined
compat-table/es6/Map.iterator-closing.js: failed
compat-table/es6/Map.iterator-prototype-chain.js: ReferenceError: 'Map' is not defined
compat-table/es6/Map.js: ReferenceError: 'Map' is not defined
compat-table/es6/Map.prototype-not-instance.js: ReferenceError: 'Map' is not defined
compat-table/es6/Map.prototype.Symbol.iterator.js: ReferenceError: 'Map' is not defined
compat-table/es6/Map.prototype.clear.js: ReferenceError: 'Map' is not defined
compat-table/es6/Map.prototype.delete.js: ReferenceError: 'Map' is not defined
compat-table/es6/Map.prototype.entries.js: ReferenceError: 'Map' is not defined
compat-table/es6/Map.prototype.forEach.js: ReferenceError: 'Map' is not defined
compat-table/es6/Map.prototype.keys.js: ReferenceError: 'Map' is not defined
compat-table/es6/Map.prototype.set-returns-this.js: ReferenceError: 'Map' is not defined
compat-table/es6/Map.prototype.size.js: ReferenceError: 'Map' is not defined
compat-table/es6/Map.prototype.values.js: ReferenceError: 'Map' is not defined
compat-table/es6/Map.zero-key.js: ReferenceError: 'Map' is not defined
compat-table/es6/Math.acosh.js: OK
compat-table/es6/Math.asinh.js: OK
compat-table/es6/Math.atanh.js: OK
compat-table/es6/Math.cbrt.js: OK
compat-table/es6/Math.clz32.js: failed
compat-table/es6/Math.cosh.js: OK
compat-table/es6/Math.expm1.js: OK
compat-table/es6/Math.fround.js: failed
compat-table/es6/Math.hypot.js: TypeError: "hypot" is not a function
compat-table/es6/Math.imul.js: failed
compat-table/es6/Math.log1p.js: OK
compat-table/es6/Math.log2.js: OK
compat-table/es6/Math.log10.js: OK
compat-table/es6/Math.sign.js: failed
compat-table/es6/Math.sinh.js: OK
compat-table/es6/Math.tanh.js: OK
compat-table/es6/Math.trunc.js: OK
compat-table/es6/Number.EPSILON.js: failed
compat-table/es6/Number.MAX_SAFE_INTEGER.js: failed
compat-table/es6/Number.MIN_SAFE_INTEGER.js: failed
compat-table/es6/Number.isFinite.js: failed
compat-table/es6/Number.isInteger.js: failed
compat-table/es6/Number.isNaN.js: OK
compat-table/es6/Number.isSafeInteger.js: failed
compat-table/es6/Number.parseFloat.js: failed
compat-table/es6/Number.parseInt.js: failed
compat-table/es6/Object.assign.js: OK
compat-table/es6/Object.getOwnPropertySymbols.js: ReferenceError: 'Symbol' is not defined
compat-table/es6/Object.is.js: failed
compat-table/es6/Object.setPrototypeOf.js: TypeError: "setPrototypeOf" is not a function
compat-table/es6/Promise.Symbol.species.js: ReferenceError: 'Promise' is not defined
compat-table/es6/Promise.all.iterable.js: ReferenceError: 'Promise' is not defined
compat-table/es6/Promise.all.js: ReferenceError: 'Promise' is not defined
compat-table/es6/Promise.constructor-requires-new.js: ReferenceError: 'Promise' is not defined
compat-table/es6/Promise.js: ReferenceError: 'Promise' is not defined
compat-table/es6/Promise.prototype-not-instance.js: ReferenceError: 'Promise' is not defined
compat-table/es6/Promise.race.iterable.js: ReferenceError: 'Promise' is not defined
compat-table/es6/Promise.race.js: ReferenceError: 'Promise' is not defined
compat-table/es6/Proxy.Array.isArray.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.JSON.stringify.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.constructor-requires-new.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.apply.invariants.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.apply.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.construct.invariants.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.construct.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.defineProperty.invariants.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.defineProperty.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.deleteProperty.invariants.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.deleteProperty.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.getOwnPropertyDescriptor.invariants.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.getOwnPropertyDescriptor.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.getPrototypeOf.invariants.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.getPrototypeOf.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.get.instances.js: ReferenceError: 'Proxy' is not defined
compat-table/es6/Proxy.handler.get.invariants.js: ReferenceError: 'Proxy' is not defined
